user_id,item_id,recommend_score
1,15,3.3169405301207906
1,8,3.296230936937088
1,37,3.1481340164508413
1,25,3.0751609940238827
1,20,3.0405570707773752
1,47,2.995096271810714
1,4,2.83259404061068
1,45,2.795651330694673
1,12,2.697098928157926
1,31,2.6957726144001932
2,29,2.516180648781684
2,26,2.4565281434287285
2,17,2.28067076438483
2,35,2.241743124009841
2,43,2.209176618478989
2,11,2.1806113454215117
2,38,2.1484863474043916
2,2,2.144204937887831
2,47,2.1166053591547573
2,34,2.09137481544208
3,29,2.6036571159303
3,8,2.3792757762554038
3,23,2.3659926873035597
3,40,2.3140796283841856
3,35,2.186867421050843
3,20,2.186448303152174
3,24,2.1830611274951766
3,12,2.160825711878756
3,21,2.134447120781275
3,6,2.075867142969485
4,40,2.5340280339003765
4,17,2.3055105614673663
4,24,2.2083285475491183
4,11,2.0577791016436207
4,18,2.0366695810850866
4,8,2.0239939045492443
4,25,1.9879958513603213
4,35,1.9247900713802495
4,6,1.922138886652042
4,4,1.9002009809851157
5,40,2.5576077409874767
5,34,2.498857905381371
5,35,2.386109608298517
5,12,2.3485616644185563
5,5,2.3109578592630156
5,22,2.289948644230488
5,23,2.2450609758018176
5,25,2.2237864279212336
5,15,2.198915291747185
5,8,2.186651078152391
6,50,1.8789945495319655
6,8,1.7696058556346155
6,5,1.73786605983969
6,42,1.7020909116449494
6,25,1.692434482423835
6,49,1.6700951620727977
6,19,1.59366097172836
6,38,1.568954363105597
6,34,1.5455087834429388
6,32,1.5450237859282712
7,45,2.0372404760920446
7,21,1.7884616166135174
7,49,1.7408485287241553
7,25,1.639030444962906
7,43,1.6173981648344482
7,7,1.5237769314681189
7,42,1.488134370325103
7,3,1.4329011771242228
7,28,1.4126971123963443
7,26,1.4080830977048573
8,40,2.3352171998856215
8,29,2.25269505098799
8,31,2.148673785856435
8,20,2.135222963401565
8,34,2.0977244449230064
8,35,2.0724608594370584
8,26,2.0196129161080982
8,23,1.9492772894975725
8,15,1.9445920621523243
8,50,1.936307091331756
9,26,2.6190971686122264
9,47,2.3705477013735976
9,34,2.3365109222934435
9,25,2.2603535155856456
9,24,2.236950283249701
9,8,2.22445027656895
9,4,2.2166508309358175
9,45,2.204951589986268
9,11,2.182684742040214
9,15,2.1567601523589373
10,5,1.5087551444783682
10,40,1.5056492618951465
10,24,1.4867925344247022
10,34,1.3748276755557973
10,29,1.246806545579009
10,35,1.2090849621020363
10,50,1.2057182407872484
10,25,1.1733124733257008
10,4,1.1720247983184544
10,45,1.1718300887520847
11,4,1.2609224621494572
11,29,1.1201483060876072
11,5,1.0652592887664085
11,25,1.0330469049211604
11,40,1.0058812004306041
11,17,0.9924486534134834
11,36,0.9614102159647235
11,15,0.9464028757473787
11,26,0.9243082716740638
11,8,0.9236553082232823
12,26,2.986728097462402
12,45,2.923763841873029
12,8,2.7611131613254103
12,11,2.7421104579237445
12,20,2.687226762212878
12,24,2.6206298617867874
12,37,2.5799805140959107
12,6,2.5748423883219265
12,9,2.574807880311709
12,40,2.5640654163487437
13,26,1.597994914075026
13,35,1.5857513709980469
13,34,1.57162244408274
13,27,1.546812876820913
13,22,1.5199867881437092
13,11,1.5192685352767772
13,23,1.4987015512689594
13,12,1.4898556182873857
13,24,1.4397005993129486
13,47,1.436881123562688
14,29,1.9371723905764275
14,34,1.7887672376872292
14,47,1.7872819092088803
14,9,1.7686374077004432
14,45,1.7418001236485514
14,32,1.6514488880146279
14,24,1.6410331388888892
14,8,1.634614551520641
14,6,1.6343441767383928
14,31,1.584438694435852
15,29,2.298606217315562
15,45,1.9911510646911232
15,26,1.9880692026845548
15,40,1.9655925646655115
15,47,1.8880563545668096
15,35,1.8742990484496165
15,24,1.8249979693542775
15,17,1.821518351541794
15,4,1.7832677836555135
15,15,1.7567806504309518
16,29,2.616809994649087
16,43,2.6077982439992655
16,5,2.354532250503327
16,23,2.336680756019995
16,17,2.3103310329148274
16,42,2.3015207856335014
16,24,2.246942468461998
16,12,2.2142491117773773
16,26,2.2014594580910667
16,6,2.1556020497339867
17,4,2.8617731711486507
17,26,2.7330463949173662
17,25,2.7322255625945813
17,36,2.680513409162681
17,37,2.638860598205949
17,35,2.567018443867401
17,3,2.5518108398924237
17,49,2.4978268395935364
17,23,2.489985177653004
17,6,2.453556804197771
18,12,2.338433713533611
18,40,2.175260771724773
18,43,2.1245825676090835
18,34,2.1146119913099497
18,35,2.1014541644901965
18,25,2.092381507107518
18,45,2.0760134386499156
18,26,2.0296605381880517
18,44,1.8840411718948256
18,32,1.8710220146186145
19,8,2.8124286334451543
19,40,2.697610684231962
19,29,2.649708897482664
19,49,2.6098654410425404
19,24,2.602051175691443
19,25,2.5293344686415007
19,1,2.466829693004077
19,7,2.354028454460827
19,6,2.2988931988485812
19,33,2.2987750480173204
20,5,1.5701228711985136
20,17,1.5272975740619885
20,45,1.5241357065827106
20,29,1.462955977438999
20,9,1.4313286684576298
20,26,1.4129744338513686
20,25,1.3937614040354656
20,47,1.3892967597860195
20,30,1.3704876822575516
20,43,1.3491984852194094
