user_id,item_id,view,cart,fav,buy,label
1,3,1.0,0.0,0.0,0.0,0
1,11,3.0,0.0,0.0,0.0,0
1,17,1.0,0.0,0.0,0.0,0
1,18,1.0,0.0,0.0,0.0,0
1,24,0.0,1.0,0.0,0.0,0
1,26,1.0,0.0,0.0,0.0,0
1,27,1.0,0.0,0.0,0.0,0
1,29,0.0,0.0,1.0,0.0,0
1,32,1.0,0.0,0.0,0.0,0
1,34,0.0,1.0,0.0,0.0,0
1,35,0.0,0.0,1.0,0.0,0
1,36,1.0,0.0,0.0,0.0,0
1,40,1.0,0.0,0.0,0.0,0
1,49,1.0,0.0,0.0,0.0,0
2,4,1.0,0.0,0.0,0.0,0
2,6,1.0,0.0,0.0,0.0,0
2,12,1.0,0.0,0.0,0.0,0
2,13,1.0,0.0,0.0,0.0,0
2,16,1.0,0.0,0.0,0.0,0
2,19,0.0,1.0,0.0,0.0,0
2,22,0.0,0.0,1.0,0.0,0
2,23,2.0,0.0,0.0,0.0,0
2,25,1.0,0.0,0.0,0.0,0
2,33,0.0,0.0,0.0,2.0,1
2,45,1.0,0.0,0.0,0.0,0
3,11,1.0,0.0,0.0,0.0,0
3,15,0.0,0.0,1.0,0.0,0
3,17,1.0,0.0,0.0,0.0,0
3,22,2.0,0.0,0.0,0.0,0
3,25,0.0,0.0,1.0,0.0,0
3,26,1.0,0.0,0.0,0.0,0
3,34,1.0,0.0,0.0,0.0,0
3,38,0.0,0.0,1.0,0.0,0
3,45,1.0,0.0,1.0,0.0,0
3,49,0.0,0.0,1.0,0.0,0
4,2,1.0,0.0,0.0,0.0,0
4,10,1.0,0.0,0.0,0.0,0
4,15,1.0,0.0,0.0,0.0,0
4,26,0.0,0.0,1.0,0.0,0
4,29,2.0,0.0,0.0,0.0,0
4,33,2.0,0.0,0.0,0.0,0
4,34,1.0,0.0,0.0,0.0,0
4,36,1.0,0.0,0.0,0.0,0
4,37,1.0,0.0,0.0,0.0,0
5,6,1.0,0.0,0.0,0.0,0
5,11,0.0,1.0,0.0,0.0,0
5,14,1.0,0.0,0.0,0.0,0
5,17,1.0,0.0,0.0,0.0,0
5,21,1.0,0.0,0.0,0.0,0
5,26,1.0,0.0,0.0,0.0,0
5,29,1.0,0.0,0.0,0.0,0
5,31,1.0,0.0,0.0,0.0,0
5,33,0.0,0.0,1.0,0.0,0
5,42,1.0,0.0,0.0,0.0,0
5,45,1.0,0.0,0.0,0.0,0
6,9,1.0,0.0,0.0,0.0,0
6,21,1.0,0.0,0.0,0.0,0
6,27,0.0,0.0,1.0,0.0,0
6,28,1.0,0.0,0.0,0.0,0
6,33,1.0,0.0,0.0,0.0,0
6,43,0.0,0.0,1.0,0.0,0
6,45,1.0,0.0,0.0,0.0,0
6,46,1.0,0.0,0.0,0.0,0
7,1,1.0,0.0,0.0,0.0,0
7,8,1.0,0.0,0.0,0.0,0
7,9,1.0,0.0,0.0,0.0,0
7,19,0.0,1.0,0.0,0.0,0
7,33,1.0,0.0,0.0,0.0,0
7,38,1.0,0.0,0.0,0.0,0
