user_id,item_id,category_id,behavior_type,timestamp,datetime,date
1,2268318,2520377,pv,1511544070,2017-11-24 17:21:10,2017-11-24
1,2333346,2520771,pv,1511561733,2017-11-24 22:15:33,2017-11-24
1,2576651,149192,pv,1511572885,2017-11-25 01:21:25,2017-11-25
1,3830808,4181361,pv,1511593493,2017-11-25 07:04:53,2017-11-25
1,4365585,2520377,pv,1511596146,2017-11-25 07:49:06,2017-11-25
1,4606018,2735466,pv,1511616481,2017-11-25 13:28:01,2017-11-25
1,230380,411153,pv,1511644942,2017-11-25 21:22:22,2017-11-25
1,3827899,2920476,pv,1511713473,2017-11-26 16:24:33,2017-11-26
1,3745169,2891509,pv,1511725471,2017-11-26 19:44:31,2017-11-26
1,1531036,2920476,pv,1511733732,2017-11-26 22:02:12,2017-11-26
1,2266567,4145813,pv,1511741471,2017-11-27 00:11:11,2017-11-27
1,2951368,1080785,pv,1511750828,2017-11-27 02:47:08,2017-11-27
1,3108797,2355072,pv,1511758881,2017-11-27 05:01:21,2017-11-27
1,1338525,149192,pv,1511773214,2017-11-27 09:00:14,2017-11-27
1,2286574,2465336,pv,1511797167,2017-11-27 15:39:27,2017-11-27
1,5002615,2520377,pv,1511839385,2017-11-28 03:23:05,2017-11-28
1,2734026,4145813,pv,1511842184,2017-11-28 04:09:44,2017-11-28
1,5002615,2520377,pv,1511844273,2017-11-28 04:44:33,2017-11-28
1,3239041,2355072,pv,1511855664,2017-11-28 07:54:24,2017-11-28
1,4615417,4145813,pv,1511870864,2017-11-28 12:07:44,2017-11-28
1,4152983,2355072,pv,1511871096,2017-11-28 12:11:36,2017-11-28
1,266784,2520771,pv,1511884553,2017-11-28 15:55:53,2017-11-28
1,46259,149192,pv,1511892772,2017-11-28 18:12:52,2017-11-28
1,266784,2520771,pv,1511909676,2017-11-28 22:54:36,2017-11-28
1,4092065,2355072,pv,1511910242,2017-11-28 23:04:02,2017-11-28
1,1305059,2520771,pv,1511911930,2017-11-28 23:32:10,2017-11-28
1,2791761,2355072,pv,1511914689,2017-11-29 00:18:09,2017-11-29
1,3239041,2355072,pv,1511939239,2017-11-29 07:07:19,2017-11-29
1,46259,149192,pv,1511940971,2017-11-29 07:36:11,2017-11-29
1,4973305,2520771,pv,1511969365,2017-11-29 15:29:25,2017-11-29
1,2087357,2131531,pv,1511975142,2017-11-29 17:05:42,2017-11-29
1,3157558,2520771,pv,1511984943,2017-11-29 19:49:03,2017-11-29
1,2087357,2131531,pv,1512004568,2017-11-30 01:16:08,2017-11-30
1,4170517,149192,pv,1512011019,2017-11-30 03:03:39,2017-11-30
1,1340922,4690421,pv,1512041260,2017-11-30 11:27:40,2017-11-30
1,3911125,982926,pv,1512044958,2017-11-30 12:29:18,2017-11-30
1,4170517,149192,pv,1512049438,2017-11-30 13:43:58,2017-11-30
1,3682069,4690421,pv,1512059832,2017-11-30 16:37:12,2017-11-30
1,4954999,411153,pv,1512061318,2017-11-30 17:01:58,2017-11-30
1,79715,2355072,pv,1512064350,2017-11-30 17:52:30,2017-11-30
1,4666650,4756105,pv,1512084223,2017-11-30 23:23:43,2017-11-30
1,1323189,3524510,pv,1512149435,2017-12-01 17:30:35,2017-12-01
1,4198227,1320293,pv,1512149929,2017-12-01 17:38:49,2017-12-01
1,4954999,411153,pv,1512172732,2017-12-01 23:58:52,2017-12-01
1,2041056,4801426,pv,1512187543,2017-12-02 04:05:43,2017-12-02
1,3219016,3002561,pv,1512190033,2017-12-02 04:47:13,2017-12-02
1,2104483,4756105,pv,1512194830,2017-12-02 06:07:10,2017-12-02
1,2028434,4801426,pv,1512224248,2017-12-02 14:17:28,2017-12-02
1,3219016,3002561,pv,1512244023,2017-12-02 19:47:03,2017-12-02
1,2278603,3002561,pv,1512251522,2017-12-02 21:52:02,2017-12-02
